parent;child
Final Energy|Industry;Final Energy|Industry|Other
Final Energy|Industry;Final Energy|Industry|Solids
Final Energy|Other Sector;Final Energy|Other Sector|Electricity
Final Energy|Other Sector;Final Energy|Other Sector|Gases
Final Energy|Other Sector;Final Energy|Other Sector|Heat
Final Energy|Other Sector;Final Energy|Other Sector|Hydrogen
Final Energy|Other Sector;Final Energy|Other Sector|Liquids
Final Energy|Other Sector;Final Energy|Other Sector|Other
Final Energy|Other Sector;Final Energy|Other Sector|Solids
Final Energy|Residential and Commercial 2;Final Energy|Residential and Commercial|Commercial
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Electricity
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Gases
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Heat
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Hydrogen
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Liquids
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Other
Final Energy|Residential and Commercial 2;Final Energy|Residential and Commercial|Residential
Final Energy|Residential and Commercial;Final Energy|Residential and Commercial|Solids
Final Energy|Transportation;Final Energy|Transportation|Electricity
Final Energy|Transportation;Final Energy|Transportation|Gases
Final Energy|Transportation;Final Energy|Transportation|Hydrogen
Final Energy|Transportation;Final Energy|Transportation|Liquids
Final Energy|Transportation;Final Energy|Transportation|Other
Final Energy|Transportation 2;Final Energy|Transportation|Passenger
Final Energy|Transportation 2;Final Energy|Transportation|Freight
Final Energy 2;Final Energy|Industry
Final Energy 2;Final Energy|Other Sector
Final Energy 2;Final Energy|Residential and Commercial
Final Energy 2;Final Energy|Transportation
Investment|Energy Supply|Electricity|Biomass;Investment|Energy Supply|Electricity|Biomass|w/ CCS
Investment|Energy Supply|Electricity|Biomass;Investment|Energy Supply|Electricity|Biomass|w/o CCS
Investment|Energy Supply|Electricity|Coal;Investment|Energy Supply|Electricity|Coal|w/ CCS
Investment|Energy Supply|Electricity|Coal;Investment|Energy Supply|Electricity|Coal|w/o CCS
Investment|Energy Supply|Electricity|Gas;Investment|Energy Supply|Electricity|Gas|w/ CCS
Investment|Energy Supply|Electricity|Gas;Investment|Energy Supply|Electricity|Gas|w/o CCS
Investment|Energy Supply|Electricity|Oil;Investment|Energy Supply|Electricity|Oil|w/ CCS
Investment|Energy Supply|Electricity|Oil;Investment|Energy Supply|Electricity|Oil|w/o CCS
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Biomass
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Coal
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Electricity Storage
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Gas
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Geothermal
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Hydro
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Nuclear
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Ocean
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Oil
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Other
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Solar
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Transmission and Distribution
Investment|Energy Supply|Electricity;Investment|Energy Supply|Electricity|Wind
Investment|Energy Supply|Hydrogen;Investment|Energy Supply|Hydrogen|Biomass
Investment|Energy Supply|Hydrogen;Investment|Energy Supply|Hydrogen|Electricity
Investment|Energy Supply|Hydrogen;Investment|Energy Supply|Hydrogen|Fossil
Investment|Energy Supply|Hydrogen;Investment|Energy Supply|Hydrogen|Other
Investment|Energy Supply|Hydrogen;Investment|Energy Supply|Hydrogen|Renewable
Investment|Energy Supply|Liquids;Investment|Energy Supply|Liquids|Biomass
Investment|Energy Supply|Liquids;Investment|Energy Supply|Liquids|Coal and Gas
Investment|Energy Supply|Liquids;Investment|Energy Supply|Liquids|Oil
Investment|Energy Supply;Investment|Energy Supply|CO2 Transport and Storage
Investment|Energy Supply;Investment|Energy Supply|Electricity
Investment|Energy Supply;Investment|Energy Supply|Heat
Investment|Energy Supply;Investment|Energy Supply|Hydrogen
Investment|Energy Supply;Investment|Energy Supply|Liquids
Investment|Energy Supply;Investment|Energy Supply|Other
Investment|Infrastructure|Transportation;Investment|Infrastructure|Transportation|Aviation
Investment|Infrastructure|Transportation;Investment|Infrastructure|Transportation|Maritime
Investment|Infrastructure|Transportation;Investment|Infrastructure|Transportation|Rail
Investment|Infrastructure|Transportation;Investment|Infrastructure|Transportation|Road
Land Cover|Cropland|Energy Crops;Land Cover|Cropland|Energy Crops|1st generation
Land Cover|Cropland|Energy Crops;Land Cover|Cropland|Energy Crops|2nd generation
Land Cover|Cropland;Land Cover|Cropland|Cereals
Land Cover|Cropland;Land Cover|Cropland|Energy Crops
Land Cover|Forest;Land Cover|Forest|Afforestation and Reforestation
Land Cover|Forest;Land Cover|Forest|Managed
Land Cover|Forest;Land Cover|Forest|Natural Forest
Land Cover|Forest;Land Cover|Forest|Secondary
Land Cover;Land Cover|Built-up Area
Land Cover;Land Cover|Cropland
Land Cover;Land Cover|Forest
Land Cover;Land Cover|Other Arable Land
Land Cover;Land Cover|Other Land
Land Cover;Land Cover|Pasture
Capacity Additions|Electricity|Gas;Capacity Additions|Electricity|Gas|w/ CCS
Capacity Additions|Electricity|Gas;Capacity Additions|Electricity|Gas|w/o CCS
Population;Population|Female
Population;Population|Male
Population 2;Population|Rural
Population 2;Population|Urban
Primary Energy|Biomass|Electricity;Primary Energy|Biomass|Electricity|w/ CCS
Primary Energy|Biomass|Electricity;Primary Energy|Biomass|Electricity|w/o CCS
Primary Energy|Coal|Electricity;Primary Energy|Coal|Electricity|w/ CCS
Primary Energy|Coal|Electricity;Primary Energy|Coal|Electricity|w/o CCS
Primary Energy|Gas|Electricity;Primary Energy|Gas|Electricity|w/ CCS
Primary Energy|Gas|Electricity;Primary Energy|Gas|Electricity|w/o CCS
Primary Energy|Oil|Electricity;Primary Energy|Oil|Electricity|w/ CCS
Primary Energy|Oil|Electricity;Primary Energy|Oil|Electricity|w/o CCS
Primary Energy|Biomass;Primary Energy|Biomass|Electricity
Primary Energy|Biomass;Primary Energy|Biomass|Gases
Primary Energy|Biomass;Primary Energy|Biomass|Hydrogen
Primary Energy|Biomass;Primary Energy|Biomass|Liquids
Primary Energy|Biomass;Primary Energy|Biomass|Solids
Primary Energy|Biomass;Primary Energy|Biomass|Traditional
Primary Energy|Coal;Primary Energy|Coal|Electricity
Primary Energy|Coal;Primary Energy|Coal|Gases
Primary Energy|Coal;Primary Energy|Coal|Hydrogen
Primary Energy|Coal;Primary Energy|Coal|Liquids
Primary Energy|Coal;Primary Energy|Coal|Solids
Primary Energy|Gas;Primary Energy|Gas|Electricity
Primary Energy|Gas;Primary Energy|Gas|Gases
Primary Energy|Gas;Primary Energy|Gas|Hydrogen
Primary Energy|Gas;Primary Energy|Gas|Liquids
Primary Energy|Gas;Primary Energy|Gas|Solids
Primary Energy|Non-Biomass Renewables;Primary Energy|Non-Biomass Renewables|Geothermal
Primary Energy|Non-Biomass Renewables;Primary Energy|Non-Biomass Renewables|Hydro
Primary Energy|Non-Biomass Renewables;Primary Energy|Non-Biomass Renewables|Ocean
Primary Energy|Non-Biomass Renewables;Primary Energy|Non-Biomass Renewables|Solar
Primary Energy|Non-Biomass Renewables;Primary Energy|Non-Biomass Renewables|Wind
Primary Energy|Oil;Primary Energy|Oil|Electricity
Primary Energy|Oil;Primary Energy|Oil|Gases
Primary Energy|Oil;Primary Energy|Oil|Hydrogen
Primary Energy|Oil;Primary Energy|Oil|Liquids
Primary Energy|Oil;Primary Energy|Oil|Solids
Primary Energy;Primary Energy|Biomass
Primary Energy;Primary Energy|Coal
Primary Energy;Primary Energy|Gas
Primary Energy;Primary Energy|Hydro
Primary Energy;Primary Energy|Non-Biomass Renewables
Primary Energy;Primary Energy|Nuclear
Primary Energy;Primary Energy|Oil
Primary Energy;Primary Energy|Other
Primary Energy;Primary Energy|Secondary Energy Trade
Secondary Energy|Electricity|Biomass;Secondary Energy|Electricity|Biomass|w/ CCS
Secondary Energy|Electricity|Biomass;Secondary Energy|Electricity|Biomass|w/o CCS
Secondary Energy|Electricity|Coal;Secondary Energy|Electricity|Coal|w/ CCS
Secondary Energy|Electricity|Coal;Secondary Energy|Electricity|Coal|w/o CCS
Secondary Energy|Electricity|Gas;Secondary Energy|Electricity|Gas|w/ CCS
Secondary Energy|Electricity|Gas;Secondary Energy|Electricity|Gas|w/o CCS
Secondary Energy|Electricity|Oil;Secondary Energy|Electricity|Oil|w/ CCS
Secondary Energy|Electricity|Oil;Secondary Energy|Electricity|Oil|w/o CCS
Secondary Energy|Electricity|Solar;Secondary Energy|Electricity|Solar|CSP
Secondary Energy|Electricity|Solar;Secondary Energy|Electricity|Solar|PV
Secondary Energy|Electricity|Wind;Secondary Energy|Electricity|Wind|Offshore
Secondary Energy|Electricity|Wind;Secondary Energy|Electricity|Wind|Onshore
Secondary Energy|Electricity;Secondary Energy|Electricity|Biomass
Secondary Energy|Electricity;Secondary Energy|Electricity|Coal
Secondary Energy|Electricity;Secondary Energy|Electricity|Gas
Secondary Energy|Electricity;Secondary Energy|Electricity|Geothermal
Secondary Energy|Electricity;Secondary Energy|Electricity|Hydro
Secondary Energy|Electricity;Secondary Energy|Electricity|Nuclear
Secondary Energy|Electricity;Secondary Energy|Electricity|Ocean
Secondary Energy|Electricity;Secondary Energy|Electricity|Oil
Secondary Energy|Electricity;Secondary Energy|Electricity|Other
Secondary Energy|Electricity;Secondary Energy|Electricity|Solar
Secondary Energy|Electricity;Secondary Energy|Electricity|Wind
Secondary Energy|Electricity;Secondary Energy|Electricity|Other
Secondary Energy|Gases;Secondary Energy|Gases|Biomass
Secondary Energy|Gases;Secondary Energy|Gases|Coal
Secondary Energy|Gases;Secondary Energy|Gases|Natural Gas
Secondary Energy|Gases;Secondary Energy|Gases|Other
Secondary Energy|Heat;Secondary Energy|Heat|Biomass
Secondary Energy|Heat;Secondary Energy|Heat|Coal
Secondary Energy|Heat;Secondary Energy|Heat|Gas
Secondary Energy|Heat;Secondary Energy|Heat|Geothermal
Secondary Energy|Heat;Secondary Energy|Heat|Nuclear
Secondary Energy|Heat;Secondary Energy|Heat|Oil
Secondary Energy|Heat;Secondary Energy|Heat|Other
Secondary Energy|Heat;Secondary Energy|Heat|Solar
Secondary Energy|Hydrogen|Biomass;Secondary Energy|Hydrogen|Biomass|w/ CCS
Secondary Energy|Hydrogen|Biomass;Secondary Energy|Hydrogen|Biomass|w/o CCS
Secondary Energy|Hydrogen|Coal;Secondary Energy|Hydrogen|Coal|w/ CCS
Secondary Energy|Hydrogen|Coal;Secondary Energy|Hydrogen|Coal|w/o CCS
Secondary Energy|Hydrogen|Gas;Secondary Energy|Hydrogen|Gas|w/ CCS
Secondary Energy|Hydrogen|Gas;Secondary Energy|Hydrogen|Gas|w/o CCS
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Biomass
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Coal
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Electricity
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Gas
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Nuclear
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Oil
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Other
Secondary Energy|Hydrogen;Secondary Energy|Hydrogen|Solar
Secondary Energy|Liquids|Biomass;Secondary Energy|Liquids|Biomass|w/ CCS
Secondary Energy|Liquids|Biomass;Secondary Energy|Liquids|Biomass|w/o CCS
Secondary Energy|Liquids|Coal;Secondary Energy|Liquids|Coal|w/ CCS
Secondary Energy|Liquids|Coal;Secondary Energy|Liquids|Coal|w/o CCS
Secondary Energy|Liquids|Gas;Secondary Energy|Liquids|Gas|w/ CCS
Secondary Energy|Liquids|Gas;Secondary Energy|Liquids|Gas|w/o CCS
Secondary Energy|Liquids;Secondary Energy|Liquids|Biomass
Secondary Energy|Liquids;Secondary Energy|Liquids|Coal
Secondary Energy|Liquids;Secondary Energy|Liquids|Gas
Secondary Energy|Liquids;Secondary Energy|Liquids|Oil
Secondary Energy|Liquids;Secondary Energy|Liquids|Other
Secondary Energy|Solids;Secondary Energy|Solids|Biomass
Secondary Energy|Solids;Secondary Energy|Solids|Coal
Final Energy|Industry|Other|Gases;Final Energy|Industry|Other|Gases|Bioenergy
Final Energy|Industry|Other|Gases;Final Energy|Industry|Other|Gases|Fossil
Final Energy|Industry|Other|Gases;Final Energy|Industry|Other|Gases|Hydrogen synfuel
Final Energy|Industry|Other|Liquids;Final Energy|Industry|Other|Liquids|Bioenergy
Final Energy|Industry|Other|Liquids;Final Energy|Industry|Other|Liquids|Fossil
Final Energy|Industry|Other|Liquids;Final Energy|Industry|Other|Liquids|Hydrogen synfuel
Final Energy|Industry|Other|Solids;Final Energy|Industry|Other|Solids|Bioenergy
Final Energy|Industry|Other|Solids;Final Energy|Industry|Other|Solids|Fossil
Capacity Additions|Electricity|Oil;Capacity Additions|Electricity|Oil|w/ CCS
Capacity Additions|Electricity|Oil;Capacity Additions|Electricity|Oil|w/o CCS
Capacity Additions|Electricity|Solar;Capacity Additions|Electricity|Solar|CSP
Capacity Additions|Electricity|Solar;Capacity Additions|Electricity|Solar|PV
Capacity Additions|Electricity|Wind;Capacity Additions|Electricity|Wind|Offshore
Capacity Additions|Electricity|Wind;Capacity Additions|Electricity|Wind|Onshore
Capacity|Electricity|Biomass;Capacity|Electricity|Biomass|w/ CCS
Capacity|Electricity|Biomass;Capacity|Electricity|Biomass|w/o CCS
Capacity|Electricity|Coal;Capacity|Electricity|Coal|w/ CCS
Capacity|Electricity|Coal;Capacity|Electricity|Coal|w/o CCS
Capacity|Electricity|Gas;Capacity|Electricity|Gas|w/ CCS
Capacity|Electricity|Gas;Capacity|Electricity|Gas|w/o CCS
Capacity|Electricity|Oil;Capacity|Electricity|Oil|w/ CCS
Capacity|Electricity|Oil;Capacity|Electricity|Oil|w/o CCS
Capacity|Electricity|Solar;Capacity|Electricity|Solar|CSP
Capacity|Electricity|Solar;Capacity|Electricity|Solar|PV
Capacity|Electricity|Wind;Capacity|Electricity|Wind|Offshore
Capacity|Electricity|Wind;Capacity|Electricity|Wind|Onshore
Capacity|Electricity;Capacity|Electricity|Biomass
Capacity|Electricity;Capacity|Electricity|Coal
Capacity|Electricity;Capacity|Electricity|Gas
Capacity|Electricity;Capacity|Electricity|Geothermal
Capacity|Electricity;Capacity|Electricity|Hydro
Capacity|Electricity;Capacity|Electricity|Nuclear
Capacity|Electricity;Capacity|Electricity|Ocean
Capacity|Electricity;Capacity|Electricity|Oil
Capacity|Electricity;Capacity|Electricity|Other
Capacity|Electricity;Capacity|Electricity|Solar
Capacity|Electricity;Capacity|Electricity|Wind
Emissions|CO2|Energy and Industrial Processes;Emissions|CO2|Energy
Emissions|CO2|Energy and Industrial Processes;Emissions|CO2|Industrial Processes
